,title,artist,genre,lyric
10,  감각공해                , band IOWA  아이오와   ,록 메탈,"요란스러운 세상은 왜 이리도 시끄러운 건지 상자 같은 방안은 왜 이리도 어두운 건지 내 귀를 찌르는 고요함은 도저히 멈출 생각 없네 조용할수록 말이 많아지는 나의 마음은 지금 내 모습과 다를 게 없네 표정 없는 이들은 아무도 내 얘기를 들어주질 않네 소음을 내며 울부짖어야 그제서야 눈길을 주네 내 귀를 찌르는 고요함은 도저히 멈출 생각 없네 조용할수록 말이 많아지는 나의 마음은 지금 내 모습과 다를 게 없네 
"
11,  Off  Feat  COLDRUN           , 늦토  ,R amp B Soul,"왜 이제야 돌아왔어 보고 싶었어 쉬는 날 조금 멀리 떠나고 싶은데 몸이 움직이질 않아 나 엎드려 기절할게 이 배터리 좀 빼줄래요 그래 시간아 너도 잠깐 쉬어 우리 고장 나서 있자 방해하지 마 Stop calling lose my number 오늘은 받지 않아 들어오지 마 너 햇빛 막아줘 나의 커튼 그래 지금 좋아 생각은 이제 그만 되감아줘도 돼 다 풀려버린 채 쉴 거야 텅 비어 버렸어 다 닳아버린 마음속이 누가 손을 좀 잡아줬으면 아냐 고장 나서 있자 방해하지 마 Stop calling lose my number 오늘은 받지 않아 들어오지 마 너 햇빛 막아줘 나의 커튼 그래 준비가 됐어 생각은 이제 그만 되감아줘도 돼 다 풀려버린 채 쉴 거야 생각은 이제 그만 되감아줘도 돼 다 풀려버린 채 쉴 거야 
"
12,  집 밖에 못 나가서 빡친 노래          , 배카인  ,록 메탈,"또 무너져 간다 무너져 간다 4시간은 쌓아 올린 카드 탑이 발효가 된다 발효가 된다 산채로 시체 마냥 냄새가 사람이 사는지 짐승이 사는지 바깥 날씨 어떤지 알 리가 없지 집에서 안 나간지 벌써 반년이나 지나갔네 뱃살이 는다 뱃살이 는다 배달 음식 시켜 먹다 살이 찐다 바닥이 보인다 바닥이 보인다 모아놓은 비상금이 사라진다 알바에서 잘려 일거리는 없어 방구석에 박혀 썩어가는데 니들은 마스크 없이 쳐 나가고 앉았냐 그렇게 좋아하는 노래방도 끊고 친구랑 매일 가던 PC방도 끊고 나가서 놀자는 약속도 뒤로하고 최대한 집안에서 박혀있는데 사이비 집회에 모이지를 않나 클럽에 모여서 춤추지를 않나 조금만 더 조심하고 신경 쓰면 되는 게 그렇게 니들한텐 어려운 거냐 거리 두기 1단계 발령 비대면 수업으로 전환되었고 밖에 나가 쉬는 것마저 마음 졸이면서 다녀야 하네 내리쬐는 강렬한 햇살 입술 주변에는 땀띠가 나고 조금만 더 기다려 보자 조금 있음 끝이 나겠지 또 무너져 간다 무너져 간다 8개월을 쌓아올린 카드탑이 난리가 난다 난리가 난다 지들끼리 치고박고 난리다 난리 군 휴가도 못 가 대면수업 못해 방구석에 못 박혀 썩어가는데 니들은 마스크 하나도 제대로 못 쓰냐 학교도 아주 그냥 휴학을 때리고 겨우 잡은 티켓도 환불을 때리고 잡혔던 정모도 취소를 때려놓고 최대한 집안에서 박혀있는데 자가격리 무시하고 쳐나가질 않나 어디로 싸도는지 숨기지를 않나 조금만 조심해도 소용이 없네 고마워라 이제부턴 못 나가겠다 거리 두기 2단계 발령 PC방 노래방은 문을 닫았고 밖에 잠깐 나가는 것도 마음 졸이면서 다녀야하네 한번 뚫린 구멍 사이로 우후죽순 감염자가 늘어나는데 언제 끝날지 가망이 없다 이제라도 정신 차려라 
"
13,  어른에게          , 송윤선  ,발라드,"난 오늘도 많은 사람들 속에 난 오늘도 그중 한사람 되어 여느 날과 다름없는 하루를 보내고 조금 더 웃고 조금 더 쓸쓸했네요 세상 제일 행복한 모습으로 하루를 마치고 집에 돌아와 텅 빈 방안에 밀려오는 공허함에 그대가 사무치게 그리울 때면 어른인 줄 알았는데 나는 아닌가 봐요 아직 멀었나 봐요 얼마나 더 지난 후에 나는 그대처럼 강해지나요 아니면 그대도 나와 같았던 건가요 위로가 되어주던 그대 그대 지금 어디에 나를 보고 있나요 조금씩 세상을 알아갈 때에 그대가 너무 보고 싶어요 어른인 줄 알았는데 나는 아닌가 봐요 아직 멀었나 봐요 얼마나 더 지난 후에 나는 그대처럼 강해지나요 아니면 그대도 나와 같았던 건가요 알고 있나요 그댄 내게 큰 선물이었단 걸 내게 머물러 강하기만 했던 한없이 작은 당신 또 만나요 
"
14,  그냥 그렇게             , The Romanticist  ,발라드,"항상 바라만봤어 널 처음 본 그 순간부터 마냥 네가 좋아서 나 티 안 나게 웃는 너의 얼굴 난 보고 싶어서 그저 옆에서 친구로 지냈어 우린 편하게 길을 걷다가 팔짱을 끼고 우릴 연인처럼 생각하는 친구들에게 넌 그런 거 아니라고 많은 얘길 하지 않아도 돼요 굳이 넌 설명 안 해줘도 돼요 날 안고 있어도 나는 아무렇지도 않다고 그게 너의 진심이라면 이해할게요 혼자 시작했었던 이 사랑을 혼자 끝낼게요 나는 아니였네요 그런 너를 잃고 싶지 않아서 오랫동안 그렇게 지내왔었어 별거 아닌 너의 손길에 나 가슴 떨렸고 잘 들어가란 너의 그 말을 한참 생각 했어 너의 그 말에 난 밤새 설레였었지 많은 얘길 하지 않아도 돼요 굳이 넌 설명 안 해줘도 돼요 날 보고 있어도 나는 아무렇지도 않다고 그게 너의 진심이라면 이해할게요 혼자 시작했었던 이 사랑을 혼자 끝낼게요 나는 아니였네요 어느새 서로 많이 도 닮아있네요 너는 모르나봐요 그게 더 좋아요 그게 더 슬퍼요 그냥 그렇게 웃어주면 돼요 그게 내가 아니 여도 좋아요 널 보고 있어도 그것 만으로 난 좋은 걸요 이게 나의 마음이라면 나 다가갈게요 나 조금씩 천천히 더 가까이 날 보여줄게요 그땐 너도 조금은 
"
15,  Mine          , CandyKush  ,랩 힙합,"I feel nobody was gonna be mine I think that you never wanna be mine Feel like I'm drownin' in fiji Look like you never gon' see me Yeah I feel nobody was gonna be mine Hell lot of bottles Spendin' on ice Lookin' so fine Just tryna be nice Feel like I'm drownin' in fiji Look like you never gon' see me Yeah I feel nobody was gonna be mine Please don't stop me You know how I feel with her But I can't keep starin' 'cause You just left the room without a word You could just say I'm in urgernt Needin' of you to stay out cause you're virgin I'm not even gonna get hurt You never know how to twerk Get to work I hope you return All the feelings I had it like nerd I can go and see you lookin like a stalker But i don't Wanna risk it at all When you see me I'm drivin' a porsche She just comes like animal Oh no I just wanna ride a rari And I don't wanna be nobody Turn my music up so loud Let them know I made it out From the bottom to the top way Yeah eh I feel nobody was gonna be mine I think that you never wanna be mine Feel like I'm drownin' in fiji Look like you never gon' see me Yeah I feel nobody was gonna be mine Hell lot of bottles Spendin' on ice Lookin' so fine Just tryna be nice Feel like I'm drownin' in fiji Look like you never gon' see me Yeah I feel nobody was gonna be mine 
"
16,  YOU KNOW          , HwiD  휘디   ,R amp B Soul,"I feel 난 너를 느꼈어 아직 숨길 수 없는걸 이렇게 멀리서 바라만 봐도 행복하게 웃는 내 표정을 봐 you know 넌 나를 알까 you know 너만 바라보잖아 you know 지금도 설레잖아 you know 내게 좀 더 다가와 맞아 that's alright 자꾸만 네 모습이 생각나 아무렇지도 않아 너를 바라볼 때만 i don't need nobody 오직 너 하나만 있으면 돼 그래서 더 많이 너를 사랑하는 것 같에 너랑 함께 있으면 행복한 일을 상상을 해 이뤄질 수 없을걸 너가 나 같은 사람을 왜 늘어가는 맘 같이 자라나는 불안한 내 생각이 머릿속을 헤집곤 해 딴 사람이 있을까 I feel 난 너를 느꼈어 아직 숨길 수 없는걸 이렇게 멀리서 바라만 봐도 행복하게 웃는 내 표정을 봐 you know 넌 나를 알까 you know 너만 바라보잖아 you know 지금도 설레잖아 you know 내게 좀 더 다가와 내게 좀 더 다가와 안겨 나의 품에 낯을 가려도 이런 날 사랑해줄래 넌 자연스럽게 날 알아가면 돼 네 두 손을 맞잡고 너의 감정을 느껴가 i feel I'm live 나의 시간 전부 가져가도 괜찮아 어떤 순간이 와도 여전히 이 자리에서 너를 기다릴게 I feel 난 너를 느꼈어 아직 숨길 수 없는걸 이렇게 멀리서 바라만 봐도 행복하게 웃는 내 표정을 봐 you know 넌 나를 알까 you know 너만 바라보잖아 you know 지금도 설레잖아 you know 내게 좀 더 다가와 
"
17,  Tiqui Tiqui          , 귀쇼  Guishaw   ,R amp B Soul,"밤은 길어 나도 길어 아니 크다고 해야 맞는 말인 걸 좋아 죽어 더는 못 버텨 그대로 있어야 말이 되는 걸 Hey 도망가지 말고 내 옆에 붙어 그럼 오늘 나와 함께 마법에 걸려 기대해도 좋아 그게 뭐든 간에 나 오늘 너무 뜨거워 머리부터 발 끝 까지 자극적 따끔해 너란 Liqueur 원 샷해 버릴거야 이제 널 Conquer 게슴츠레 날 봐 Tiqui Tiqui 넌 아직도 내게 Still a mystery 정답을 알려줘 도도한 척 말고 그냥 내 곁에 머물러 있어 Hey 여기 내게 다가와 가까이서 볼래 바짝 붙어봐 관찰 좀 할게 Stay calm 내가 풀거야 너란 Problem 냉철한 분석 완벽히 너를 해석 직독직해 가능해 지금 너의 정서 다 끝났어 널 발표하겠어 독한거 한 잔 마시면서 지워지지 않는 너의 잔상 날 미치게 하지마 이제 더 이상 이미 내 가슴에 불을 지펴 후끈 달아올라 식혀줘 날 책임져 나 오늘 너무 뜨거워 머리부터 발 끝 까지 자극적 따끔해 너란 Liqueur 원 샷해 버릴거야 이제 널 Conquer 게슴츠레 날 봐 Tiqui Tiqui 넌 아직도 내게 Still a mystery 정답을 알려줘 도도한 척 말고 그냥 내 곁에 머물러 있어 학학 다가오네 휘몰아 쉬는 숨결 착착 감겨오네 위험한 이 기분을 느껴 이 모든 걸 내가 리드해 그저 따라오기만 해 내 눈을 바라 봐 넌 행복해 게슴츠레 바라 봐 날 이렇게 내 모든 걸 네 맘대로 해 그저 따라가기만 할 게 밤은 길어 나도 길어 아니 크다고 해야 맞는 말인 걸 좋아 죽어 더는 못 버텨 그대로 있어야 말이 되는 걸 Hey 도망가지 말고 내 옆에 붙어 그럼 오늘 나와 함께 마법에 걸려 기대해도 좋아 그게 뭐든 간에 절대 실망하지 않을 테니까 나 오늘 너무 뜨거워 머리부터 발 끝 까지 자극적 따끔해 너란 Liqueur 원 샷해 버릴거야 이제 널 Conquer 게슴츠레 날 봐 Tiqui Tiqui 넌 아직도 내게 Still a mystery 정답을 알려줘 도도한 척 말고 그냥 내 곁에 머물러 있어 
"
18,  어쩔티비  Prod  COLDE T           , MST  ,랩 힙합,"초록색의 칠판 하얀색깔의 분필에 작은 아이들의 입에 붙은 어쩔티비 손에 쥔 나침반 따라가면 곧 봄 피네 길을 모르겠다면 말해 저쩔티비 어쩔티비와 저쩔티비 둘을 합쳐놓으면 듀얼모니터 어쩔티비와 저쩔티비 안물 안궁 안물 안궁 ay ay 버르장머리는 뿌리쳐버린지 오래 돼버린 니 머린 매를 벌어 나는 손에 빠따라도 있었다면 하는 마음으로 매일을 살아오니 이미 끝나갔더라구 올핸 Shout out to 교사 어찌 이만한 시련을 감당하셨습니까 주객이 전도 돼버린 세계에서 유일하게 꽃피울수 있는 게 내 사명이니까 똑같이 주어진 손에 ay 무게와 결은 달라도 ya 나를 또 짓밟아도 거대한 파도는 내게서 시작 돼 애들을 싫어하는게 내 본성은 아니기에 초심으로 돌아간 다음 물어봐 내게 다음 해야할일에 대해 고쳐잡아 다시 마음 back to the basic 학교 앞 제패 little backpack 위로 백배의 kg 올라가도 들어줄게 견뎌낸 무게를 일기에 기록해 무거웠던 어깨엔 답이 없었지 어떻게 이겨냈나를 적기엔 어렸기에 조금만 뒤에 쓰겠지 미래의 기회를 노려 봐 그리고 두둥 탁 하고 펼쳐진 paradise 새로 내가 제시할 패러다임엔 없어 우리 공존 이건 세대차이 그래도 빌어 나는 기도 막혀버린 우리 벽이 사라지길 비록 닿지 않더라도 닿길 빌어 나는 딱히 필요없지만 더 도움닫기 위로 입에 붙은 어쩔티비가 훗날 너의 추억이 되기를 너가 말한 저쩔티비가 입에 붙어 벽 되지 않기를 초록색의 칠판 하얀색깔의 분필에 작은 아이들의 입에 붙은 어쩔티비 손에 쥔 나침반 따라가면 곧 봄 피네 길을 모르겠다면 말해 저쩔티비 어쩔티비와 저쩔티비 둘을 합쳐놓으면 듀얼모니터 어쩔티비와 저쩔티비 안물 안궁 안물 안궁 ay ay 어쩔티비에 내가 나왔으면 정말 좋겠네 거기서의 내 모습 마치 람보 총 쏴봐라 니 에임 비웃지 슉 슈슉 슈슉 다 피한 뒤에 노땅멘트를 정중히 사절 쿵따리 샤바라 잼민's king 나를 잡아라 넌 말해 쟤 빨리 잡아 와 못 잡쥬 안 잡히쥬 잡아봤자 어차피 둘 아닌 그건 내 잔상 엎어버려버려 밥상 킹 받아도 뭘 어떡해 너는 아무것도 못하쥬 어쩔 시크릿쥬쥬 limited edition 초고속 진공 블랜딩 믹서기로 갈아마셔버린 개념은 Top이야 내 드리블은 메시급 또 끌어버렸다리 king's 어그로핑퐁 잡을테면 잡아봐라 쿠쿠루삥뽕 집으로 도망갈거야 like 틱톡 Minecraft roblox brawl 아들래미와 딸래미 바른 말들만 가르쳐놔도 우짤래미 저짤래미 싫으면 댁들의 자식 폰을 뺏어 육아를 감당할 그릇이 안돼서 밥상머리교육 담당이 Youtube 벌여버린 일에 탓하긴 누굴 관뒀어 children hater 고민해 이거 땜에 매일을 아이는 원래 변해가는 과정이야 다를거야 내일은 나 역시 영향 받았기에 kid 내 말 한마디 조심해야지 영향 받아 kid 초록색의 칠판 하얀색깔의 분필에 작은 아이들의 입에 붙은 어쩔티비 손에 쥔 나침반 따라가면 곧 봄 피네 길을 모르겠다면 말해 저쩔티비 어쩔티비와 저쩔티비 둘을 합쳐놓으면 듀얼모니터 어쩔티비와 저쩔티비 안물 안궁 안물 안궁 ay ay 
"
19,  ELLE          , LEEHAN  ,R amp B Soul,"빨간어깨 그 선 아래 Lay Me Down 수만송이 로즈향이 나는듯해 향수를 쏫아줘 나의 머리에 가득히 진하게 너를 맡고싶어 let me in Everyday 둘만의 화보를 시계처럼 예쁘게 닦아 네 목에 걸어줄게 in this time 새벽이 닿는 나만의 플레이리스트 같은 너 Don't wanna Stop take my breath away 너의 모든 순간이 하이라이트인걸 휘청이는 하루의 끝에도 여전해 파스텔 사이로 흩날리는 머릿결 이 밤의 깊이도 널 가리지못해 in this time 새벽이 닿는 나만의 플레이리스트 같은 너 Don't wanna Stop take my breath away 너의 모든 순간이 하이라이트인걸 충돌한 눈빛 I can see me in your eyes 푸른별을 본 우주인같아 shine in this time 새벽이 닿는 나만의 플레이리스트 같은 너 Don't wanna Stop take my breath away 너의 모든 순간이 하이라이트인걸 
"
